id,title,level
6.830,Database Systems (Fall 2010),Graduate
6.831,User Interface Design and Implementation (Spring 2011),Graduate
6.832,Underactuated Robotics (Spring 2009),Graduate
6.833,The Human Intelligence Enterprise (Spring 2006),Graduate
6.833,The Human Intelligence Enterprise (Spring 2002),Graduate
6.834J,Cognitive Robotics (Spring 2005),Graduate
6.838,Algorithms for Computer Animation (Fall 2002),Graduate
6.840J,Theory of Computation (Fall 2006),Graduate
6.841J,Advanced Complexity Theory (Spring 2016),Graduate
6.844,Computability Theory of and with Scheme (Spring 2003),Graduate
6.845,Quantum Complexity Theory (Fall 2010),Graduate
6.849,"Geometric Folding Algorithms: Linkages, Origami, Polyhedra (Fall 2012)",Graduate
6.851,Advanced Data Structures (Spring 2012),Graduate
6.852J,Distributed Algorithms (Fall 2009),Graduate
6.854J,Advanced Algorithms (Fall 2008),Graduate
6.854J,Advanced Algorithms (Fall 2005),Graduate
6.855J,Network Optimization (Fall 2010),Graduate
6.856J,Randomized Algorithms (Fall 2002),Graduate
6.857,Network and Computer Security (Spring 2014),Graduate
6.858,Computer Systems Security (Fall 2014),Graduate
6.859J,Integer Programming and Combinatorial Optimization (Fall 2009),Graduate
6.863J,Natural Language and the Computer Representation of Knowledge (Spring 2003),Graduate
6.864,Advanced Natural Language Processing (Fall 2005),Graduate
6.866,Machine Vision (Fall 2004),Graduate
6.867,Machine Learning (Fall 2006),Graduate
6.868J,The Society of Mind (Fall 2011),Graduate
6.871,Knowledge-Based Applications Systems (Spring 2005),Graduate
6.872,Biomedical Computing (Fall 2010),Graduate
6.872J,Medical Computing (Spring 2003),Graduate
6.873J,Medical Decision Support (Fall 2005),Graduate
6.873J,Medical Decision Support (Spring 2003),Graduate
6.874J,Computational Functional Genomics (Spring 2005),Graduate
6.874J,Foundations of Computational and Systems Biology (Spring 2014),Graduate
6.875,Cryptography and Cryptanalysis (Spring 2005),Graduate
6.876J,Advanced Topics in Cryptography (Spring 2003),Graduate
6.877J,Computational Evolutionary Biology (Fall 2005),Graduate
6.878,Computational Biology (Fall 2015),Graduate
6.881,Computational Personal Genomics: Making Sense of Complete Genomes (Spring 2016),Graduate
6.881,Representation and Modeling for Image Analysis (Spring 2005),Graduate
6.883,Pervasive Human Centric Computing (SMA 5508) (Spring 2006),Graduate
6.883,Program Analysis (Fall 2005),Graduate
6.884,Complex Digital Systems (Spring 2005),Graduate
6.890,Algorithmic Lower Bounds: Fun with Hardness Proofs (Fall 2014),Graduate
6.892,Computational Models of Discourse (Spring 2004),Graduate
6.895,Essential Coding Theory (Fall 2004),Graduate
6.895,Theory of Parallel Systems (SMA 5509) (Fall 2003),Graduate
6.896,Theory of Parallel Hardware (SMA 5511) (Spring 2004),Graduate
6.897,Selected Topics in Cryptography (Spring 2004),Graduate
6.931,Development of Inventions and Creative Ideas (Spring 2008),Graduate
6.933J,The Structure of Engineering Revolutions (Fall 2001),Graduate
6.938,Engineering Risk-Benefit Analysis (Spring 2007),Graduate
6.945,Adventures in Advanced Symbolic Programming (Spring 2009),Graduate
6.946J,Classical Mechanics: A Computational Approach (Fall 2008),Graduate
6.971,Biomedical Devices Design Laboratory (Fall 2007),Graduate
6.972,Algebraic Techniques and Semidefinite Optimization (Spring 2006),Graduate
6.973,Communication System Design (Spring 2006),Graduate
6.973,Organic Optoelectronics (Spring 2003),Graduate
6.974,"Engineering, Economics and Regulation of the Electric Power Sector (Spring 2010)",Graduate
6.974,Fundamentals of Photonics: Quantum Electronics (Spring 2006),Graduate
6.975,Introduction to Convex Optimization (Fall 2009),Graduate
6.976,High Speed Communication Circuits and Systems (Spring 2003),Graduate
6.977,Ultrafast Optics (Spring 2005),Graduate
6.977,Semiconductor Optoelectronics: Theory and Design (Fall 2002),Graduate
6.978J,Communications and Information Policy (Spring 2006),Graduate
6.982J,Teaching College-Level Science and Engineering (Fall 2015),Graduate
6.982J,Teaching College-Level Science and Engineering (Spring 2009),Graduate
